requirement_id,requirement,statement_id,speaker,timestamp,source_text
REQ-001,The system shall enable the user to report via the portal.,S011,spk_0,2026-08-27 00:00:00,"For example, you need a proper budget, budgetting portal, reporting portal, scheduling portal and a fan portal for your consumers, fans, users."
REQ-001,The system shall enable the user to report via the portal.,S012,spk_0,2026-08-27 00:00:00,"So we'll go one by one, uh and we'll ask you some questions regarding each of these key categories and then um maybe you can add whatever we have missed and we'll just round it up nicely."
REQ-002,The system shall provide budget functionality.,S013,spk_0,2026-08-27 00:00:00,"So uh regarding the budget, uh We want to know the basics first."
REQ-002,The system shall provide budget functionality.,S014,spk_0,2026-08-27 00:00:00,So uh how is the IFA Financed and what are your main expense categories?
REQ-003,The system shall permit management actions only by the ifa.,S030,spk_1,2026-08-27 00:02:25,The IFA only controls the ballance and monitor it to see that everything is managed properly.
REQ-003,The system shall permit management actions only by the ifa.,S031,spk_1,2026-08-27 00:02:25,"The responsibility for managing the budget is on the team, not only IFA."
REQ-003,The system shall permit management actions only by the ifa.,S025,spk_2,2026-08-27 00:02:15,"Okay, so the IFA is like an association of different teams and then the budget is consolidated uh through the IFA and then it's distributed to the teams?"
REQ-003,The system shall permit management actions only by the ifa.,S026,spk_2,2026-08-27 00:02:15,They're just trying to understand how.
REQ-003,The system shall permit management actions only by the ifa.,S027,spk_1,2026-08-27 00:02:25,No no no no no no.
REQ-003,The system shall permit management actions only by the ifa.,S028,spk_1,2026-08-27 00:02:25,Okay.
REQ-003,The system shall permit management actions only by the ifa.,S029,spk_1,2026-08-27 00:02:25,So the idea is that each team manage its own budget.
REQ-004,The system shall allow only the team to access the budget.,S031,spk_1,2026-08-27 00:02:25,"The responsibility for managing the budget is on the team, not only IFA."
REQ-004,The system shall allow only the team to access the budget.,S032,spk_0,2026-08-27 00:02:43,"Sorry, sorry to interrupt."
REQ-004,The system shall allow only the team to access the budget.,S026,spk_2,2026-08-27 00:02:15,They're just trying to understand how.
REQ-004,The system shall allow only the team to access the budget.,S027,spk_1,2026-08-27 00:02:25,No no no no no no.
REQ-004,The system shall allow only the team to access the budget.,S028,spk_1,2026-08-27 00:02:25,Okay.
REQ-004,The system shall allow only the team to access the budget.,S029,spk_1,2026-08-27 00:02:25,So the idea is that each team manage its own budget.
REQ-004,The system shall allow only the team to access the budget.,S030,spk_1,2026-08-27 00:02:25,The IFA only controls the ballance and monitor it to see that everything is managed properly.
REQ-005,The system shall allow only the ifa to perform audits.,S033,spk_1,2026-08-27 00:02:44,The IFA is only is making audits maybe set some regulation rules to what is the policies.
REQ-005,The system shall allow only the ifa to perform audits.,S034,spk_1,2026-08-27 00:02:44,"So it it should have the ability to specify policy, budget policy in the system."
REQ-005,The system shall allow only the ifa to perform audits.,S028,spk_1,2026-08-27 00:02:25,Okay.
REQ-005,The system shall allow only the ifa to perform audits.,S029,spk_1,2026-08-27 00:02:25,So the idea is that each team manage its own budget.
REQ-005,The system shall allow only the ifa to perform audits.,S030,spk_1,2026-08-27 00:02:25,The IFA only controls the ballance and monitor it to see that everything is managed properly.
REQ-005,The system shall allow only the ifa to perform audits.,S031,spk_1,2026-08-27 00:02:25,"The responsibility for managing the budget is on the team, not only IFA."
REQ-005,The system shall allow only the ifa to perform audits.,S032,spk_0,2026-08-27 00:02:43,"Sorry, sorry to interrupt."
REQ-006,The system should include a budget feature.,S034,spk_1,2026-08-27 00:02:44,"So it it should have the ability to specify policy, budget policy in the system."
REQ-006,The system should include a budget feature.,S035,spk_1,2026-08-27 00:02:44,So the system can alert of certain violation.
REQ-007,The system shall allow the referee to insert.,S076,spk_1,2026-08-27 00:05:04,"The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game."
REQ-007,The system shall allow the referee to insert.,S077,spk_1,2026-08-27 00:05:04,Real time.
REQ-008,The system shall permit insertion only by the referee.,S079,spk_1,2026-08-27 00:05:04,It can be the main referee or the side referee or they can insert and only then can insert event of the of the game.
REQ-008,The system shall permit insertion only by the referee.,S080,spk_1,2026-08-27 00:05:04,Since we would like to have the other information as reliable as possible.
REQ-008,The system shall permit insertion only by the referee.,S074,spk_1,2026-08-27 00:05:04,Okay.
REQ-008,The system shall permit insertion only by the referee.,S075,spk_1,2026-08-27 00:05:04,So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA.
REQ-008,The system shall permit insertion only by the referee.,S076,spk_1,2026-08-27 00:05:04,"The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game."
REQ-008,The system shall permit insertion only by the referee.,S077,spk_1,2026-08-27 00:05:04,Real time.
