requirement_id,requirement,traceable,suspicious_terms
REQ-001,The system shall enable the user to report via the portal.,True,
REQ-002,The system shall provide budget functionality.,True,
REQ-003,The system shall permit management actions only by the ifa.,True,
REQ-004,The system shall allow only the team to access the budget.,True,
REQ-005,The system shall allow only the ifa to perform audits.,True,
REQ-006,The system should include a budget feature.,True,
REQ-007,The system shall allow the referee to insert.,True,
REQ-008,The system shall permit insertion only by the referee.,True,
REQ-009,The system shall be reliable.,True,
REQ-010,The system shall permit updates only by the referee.,True,
REQ-011,The system shall ensure transparency.,True,
REQ-012,The system should register the budget.,True,
REQ-013,The system shall export.,True,
REQ-014,The system shall report.,True,
REQ-015,The system shall enable the team to report.,True,
REQ-016,The system shall allow the team to manage.,True,
REQ-017,The system shall be accessible only to the team.,True,
REQ-018,The system shall only access.,True,
REQ-019,The system shall allow the ifa to view only.,True,
REQ-020,The system shall schedule.,True,
REQ-021,The system should provide scheduling functionality.,True,
REQ-022,The system should provide functionality for the referee.,True,
REQ-023,The system shall allow the referee to assign.,True,
REQ-024,The system shall provide scheduling functionality.,True,
REQ-025,The system shall not.,True,
REQ-026,The system shall provide scheduling capabilities.,True,
REQ-027,The system shall not.,True,
REQ-028,The system shall schedule.,True,
REQ-029,The system shall schedule.,True,
REQ-030,The system shall view scheduling.,True,
REQ-031,The system shall override.,True,
REQ-032,The system should support the actor ifa.,True,
REQ-033,The system shall enable the team to schedule.,True,
REQ-034,The system shall provide scheduling capabilities.,True,
REQ-035,The system shall only.,True,
REQ-036,The system shall enable ifa to schedule.,True,
REQ-037,The system should …,True,
REQ-038,The system should schedule.,True,
REQ-039,The system shall support the team with at least the required capability.,True,
REQ-040,The system shall define.,True,
REQ-041,The system should support the player.,True,
REQ-042,The system shall allow the fan to view.,True,
REQ-043,The system shall provide notification.,True,
REQ-044,The system shall enable the referee to update the report.,True,
REQ-045,The system shall access.,True,
REQ-046,The system shall permit updates only by the referee.,True,
REQ-047,The system shall be accessible only to the referee.,True,
REQ-048,The system shall provide a portal.,True,
REQ-049,The system shall satisfy performance criteria.,True,
REQ-050,The system shall provide notification functionality to the fan.,True,
REQ-051,The system shall allow a fan to register.,True,
REQ-052,The system shall enable the team to report.,True,
REQ-053,The system shall enable the team to manage reports.,True,
REQ-054,The system shall provide notification.,True,
REQ-055,The system shall provide budget functionality.,True,
REQ-056,The system shall access quickly.,True,
REQ-057,The system shall provide a response time.,True,
REQ-058,The system shall be fast.,True,
REQ-059,The system shall provide capabilities for the referee.,True,
REQ-060,The system shall report.,True,
REQ-061,The system shall enable the referee to send notifications.,True,
REQ-062,The system should …,True,
REQ-063,The system shall view.,True,
REQ-064,The system should …,True,
REQ-065,The team should.,True,
REQ-066,The system shall define.,True,
REQ-067,The system should …,True,
REQ-068,The system shall ensure that the budget is encrypted.,True,encrypted
REQ-069,The system shall provide a portal.,True,
REQ-070,The system shall provide a budget feature for the player.,True,
REQ-071,The system shall enable the team to register.,True,
REQ-072,The system should …,True,
REQ-073,The system shall provide budget functionality.,True,
REQ-074,The system should accommodate the ifa actor.,True,
REQ-075,The system should …,True,
REQ-076,The system shall only.,True,
REQ-077,The system should register.,True,
REQ-078,The system should.,True,
REQ-079,The system should …,True,
REQ-080,The system shall allow the referee to register the budget.,True,
REQ-081,The system shall allow the referee to insert.,True,
