statement_id,turn_id,speaker,timestamp,timestamp_seconds,original_text,normalized_text,position_in_turn,word_count,is_short,has_redacted_name,dialogue_act,dialogue_confidence
S001,T001,spk_0,0:00:00,0,we're doing I'm *** and this is **** we are colleagues and uh we are here for the IFA system and all the requirements that we'll now be discussing with you so that we can deliver a good system to you.,we're doing I'm *** and this is **** we are colleagues and we are here for the IFA system and all the requirements that we'll now be discussing with you so that we can deliver a good system to you.,0,40,False,True,disagreement,0.35417813062667847
S002,T001,spk_0,0:00:00,0,Yeah.,Yeah.,1,1,True,False,clarification,0.2715657353401184
S003,T001,spk_0,0:00:00,0,Um Uh just just can you give us 10 seconds?,just can you give us 10 seconds?,2,7,False,False,question,0.31946784257888794
S004,T001,spk_0,0:00:00,0,We just need to start recording because.,We just need to start recording because.,3,7,False,False,clarification,0.2415243536233902
S005,T001,spk_0,0:00:00,0,Okay.,Okay.,4,1,True,False,clarification,0.3142276406288147
S006,T001,spk_0,0:00:00,0,Okay.,Okay.,5,1,True,False,clarification,0.3142276406288147
S007,T001,spk_0,0:00:00,0,So yes.,So yes.,6,2,True,False,answer,0.37514182925224304
S008,T001,spk_0,0:00:00,0,Now the video and our conversation is getting recorded.,Now the video and our conversation is getting recorded.,7,9,False,False,constraint,0.28861182928085327
S009,T001,spk_0,0:00:00,0,All right.,All right.,8,2,True,False,clarification,0.3409101366996765
S010,T001,spk_0,0:00:00,0,So we understand that IFA's new system wants to have some key features.,So we understand that IFA's new system wants to have some key features.,9,13,False,False,feature request,0.33104419708251953
S011,T001,spk_0,0:00:00,0,"For example, you need a proper budget, budgetting portal, reporting portal, scheduling portal and a fan portal for your consumers, fans, users.","For example, you need a proper budget, budgetting portal, reporting portal, scheduling portal and a fan portal for your consumers, fans, users.",10,22,False,False,feature request,0.2942410707473755
S012,T001,spk_0,0:00:00,0,"So we'll go one by one, uh and we'll ask you some questions regarding each of these key categories and then um maybe you can add whatever we have missed and we'll just round it up nicely.","So we'll go one by one, and we'll ask you some questions regarding each of these key categories and then maybe you can add whatever we have missed and we'll just round it up nicely.",11,35,False,False,question,0.5572761297225952
S013,T001,spk_0,0:00:00,0,"So uh regarding the budget, uh We want to know the basics first.","So regarding the budget, We want to know the basics first.",12,11,False,False,clarification,0.2845647931098938
S014,T001,spk_0,0:00:00,0,So uh how is the IFA Financed and what are your main expense categories?,So how is the IFA Financed and what are your main expense categories?,13,13,False,False,question,0.38631999492645264
S015,T001,spk_0,0:00:00,0,You would say,You would say,14,3,True,False,clarification,0.19229868054389954
S016,T002,spk_1,0:01:17,77,Expense category.,Expense category.,0,2,True,False,clarification,0.25163471698760986
S017,T002,spk_1,0:01:17,77,"So the budget consists of income and expenses, of course.","So the budget consists of income and expenses, of course.",1,10,False,False,clarification,0.30077770352363586
S018,T002,spk_1,0:01:17,77,"Uh And this can be our first kind, it can be an income from uh ticket selling for a specific game.","And this can be our first kind, it can be an income from ticket selling for a specific game.",2,19,False,False,clarification,0.21762752532958984
S019,T002,spk_1,0:01:17,77,It can be income income due to uh uh selling of a certain player.,It can be income due to selling of a certain player.,3,11,False,False,answer,0.2697106897830963
S020,T002,spk_1,0:01:17,77,It can be an income to you to a sale of specific property.,It can be an income to you to a sale of specific property.,4,13,False,False,answer,0.23980112373828888
S021,T002,spk_1,0:01:17,77,So it's such as a small stadium that the team may have.,So it's such as a small stadium that the team may have.,5,12,False,False,constraint,0.2111264169216156
S022,T002,spk_1,0:01:17,77,"And things like this is the income outcome could be uh for example, salaries for players for the various stakeholders, various players, various roles within the team itself.","And things like this is the income outcome could be for example, salaries for players for the various stakeholders, various players, various roles within the team itself.",6,27,False,False,answer,0.4255829453468323
S023,T002,spk_1,0:01:17,77,A b um uh maintenance expenses for the study and things like that.,A b maintenance expenses for the study and things like that.,7,11,False,False,constraint,0.17846240103244781
S024,T002,spk_1,0:01:17,77,Did that answers your question?,Did that answers your question?,8,5,False,False,question,0.47746968269348145
S025,T003,spk_2,0:02:15,135,"Okay, so the IFA is like an association of different teams and then the budget is consolidated uh through the IFA and then it's distributed to the teams?","Okay, so the IFA is like an association of different teams and then the budget is consolidated through the IFA and then it's distributed to the teams?",0,27,False,False,clarification,0.31002485752105713
S026,T003,spk_2,0:02:15,135,They're just trying to understand how.,They're just trying to understand how.,1,6,False,False,question,0.3707142770290375
S027,T004,spk_1,0:02:25,145,No no no no no no.,No.,0,1,True,False,disagreement,0.24274203181266785
S028,T004,spk_1,0:02:25,145,Okay.,Okay.,1,1,True,False,clarification,0.3142276108264923
S029,T004,spk_1,0:02:25,145,So the idea is that each team manage its own budget.,So the idea is that each team manage its own budget.,2,11,False,False,clarification,0.26774343848228455
S030,T004,spk_1,0:02:25,145,The IFA only controls the ballance and monitor it to see that everything is managed properly.,The IFA only controls the ballance and monitor it to see that everything is managed properly.,3,16,False,False,clarification,0.19809293746948242
S031,T004,spk_1,0:02:25,145,"The responsibility for managing the budget is on the team, not only IFA.","The responsibility for managing the budget is on the team, not only IFA.",4,13,False,False,clarification,0.24129590392112732
S032,T005,spk_0,0:02:43,163,"Sorry, sorry to interrupt.","Sorry, sorry to interrupt.",0,4,False,False,correction,0.4501661956310272
S033,T006,spk_1,0:02:44,164,The IFA is only is making audits maybe set some regulation rules to what is the policies.,The IFA is only is making audits maybe set some regulation rules to what is the policies.,0,17,False,False,constraint,0.21179108321666718
S034,T006,spk_1,0:02:44,164,"So it it should have the ability to specify policy, budget policy in the system.","So it should have the ability to specify policy, budget policy in the system.",1,14,False,False,clarification,0.19639748334884644
S035,T006,spk_1,0:02:44,164,So the system can alert of certain violation.,So the system can alert of certain violation.,2,8,False,False,clarification,0.235287144780159
S036,T007,spk_2,0:03:08,188,Okay.,Okay.,0,1,True,False,clarification,0.3142276108264923
S037,T007,spk_2,0:03:08,188,And your financial team can access financial data in the in the teams in themselves or in the clubs.,And your financial team can access financial data in the in the teams in themselves or in the clubs.,1,19,False,False,agreement,0.22321943938732147
S038,T008,spk_1,0:03:16,196,Right.,Right.,0,1,True,False,clarification,0.29697802662849426
S039,T008,spk_1,0:03:16,196,The favorite administrative can see the uh diverse transactions.,The favorite administrative can see the diverse transactions.,1,8,False,False,priority,0.20012997090816498
S040,T009,spk_2,0:03:23,203,Okay.,Okay.,0,1,True,False,clarification,0.3142276108264923
S041,T009,spk_2,0:03:23,203,These reports are now performed manually or,These reports are now performed manually or,1,7,False,False,question,0.373928040266037
S042,T010,spk_1,0:03:26,206,Manually and given once a year.,Manually and given once a year.,0,6,False,False,constraint,0.2336895912885666
S043,T010,spk_1,0:03:26,206,"So since they are given once a year, they kind of aggregated and there's no real auditing of the real transactions.","So since they are given once a year, they kind of aggregated and there's no real auditing of the real transactions.",1,21,False,False,disagreement,0.19556334614753723
S044,T011,spk_0,0:03:39,219,Okay.,Okay.,0,1,True,False,clarification,0.3142276108264923
S045,T011,spk_0,0:03:39,219,Okay.,Okay.,1,1,True,False,clarification,0.3142276406288147
S046,T011,spk_0,0:03:39,219,"Um Once again if we understand correctly the IFA does not have a central pool of money, each team has their own money and you just regulate and control everything.","Once again if we understand correctly the IFA does not have a central pool of money, each team has their own money and you just regulate and control everything.",2,29,False,False,clarification,0.31648775935173035
S047,T012,spk_1,0:03:50,230,Indeed.,Indeed.,0,1,True,False,answer,0.32318663597106934
S048,T013,spk_0,0:03:51,231,Okay.,Okay.,0,1,True,False,clarification,0.3142276108264923
S049,T013,spk_0,0:03:51,231,All right.,All right.,1,2,True,False,clarification,0.3409101366996765
S050,T013,spk_0,0:03:51,231,"Um and um can you uh give us an idea of the key people's, key people that are involved?","and can you give us an idea of the key people's, key people that are involved?",2,16,False,False,question,0.4313392639160156
S051,T013,spk_0,0:03:51,231,For example of course the team manager will be involved.,For example of course the team manager will be involved.,3,10,False,False,answer,0.22888627648353577
S052,T013,spk_0,0:03:51,231,Your financial people will be involved.,Your financial people will be involved.,4,6,False,False,clarification,0.1968039572238922
S053,T013,spk_0,0:03:51,231,So how many people can you say do get access to this whole budgeting system?,So how many people can you say do get access to this whole budgeting system?,5,15,False,False,question,0.408157080411911
S054,T014,spk_1,0:04:11,251,for the budgeting system?,for the budgeting system?,0,4,False,False,question,0.38035115599632263
S055,T014,spk_1,0:04:11,251,I think the IFA administrative and that's all that's all just the IFA And the teams.,I think the IFA administrative and that's all that's all just the IFA And the teams.,1,16,False,False,answer,0.21891839802265167
S056,T014,spk_1,0:04:11,251,Okay.,Okay.,2,1,True,False,clarification,0.3142276406288147
S057,T014,spk_1,0:04:11,251,Okay.,Okay.,3,1,True,False,clarification,0.3142276406288147
S058,T014,spk_1,0:04:11,251,Okay.,Okay.,4,1,True,False,clarification,0.3142276406288147
S059,T015,spk_0,0:04:22,262,Um All right.,All right.,0,2,True,False,clarification,0.3409101665019989
S060,T015,spk_0,0:04:22,262,So fine.,So fine.,1,2,True,False,agreement,0.4579830467700958
S061,T015,spk_0,0:04:22,262,Uh I think we have covered the budgeting uh section for now um Now regarding the reports.,I think we have covered the budgeting section for now Now regarding the reports.,2,14,False,False,agreement,0.2994577884674072
S062,T015,spk_0,0:04:22,262,"So it is it is said that you you received reports from various teams and their referees, coaches and referees and everything.","So it is it is said that you received reports from various teams and their referees, coaches and referees and everything.",3,21,False,False,answer,0.30748385190963745
S063,T015,spk_0,0:04:22,262,So uh say I am a team and I have a referee.,So say I am a team and I have a referee.,4,11,False,False,agreement,0.21608972549438477
S064,T015,spk_0,0:04:22,262,So how many reports do you expect?,So how many reports do you expect?,5,7,False,False,question,0.5357792377471924
S065,T015,spk_0,0:04:22,262,I mean one from the referee.,one from the referee.,6,4,False,False,answer,0.32101133465766907
S066,T015,spk_0,0:04:22,262,One from the team captain.,One from the team captain.,7,5,False,False,answer,0.26304930448532104
S067,T015,spk_0,0:04:22,262,Or how does it go?,Or how does it go?,8,5,False,False,question,0.4966408908367157
S068,T016,spk_1,0:04:54,294,Which reports you're referring to?,Which reports you're referring to?,0,5,False,False,question,0.4741472601890564
S069,T017,spk_2,0:04:56,296,Like other than the budgeting and the financials.,Like other than the budgeting and the financials.,0,8,False,False,question,0.2891838252544403
S070,T017,spk_2,0:04:56,296,Do you receive reports on the games themselves?,Do you receive reports on the games themselves?,1,8,False,False,question,0.5154393911361694
S071,T017,spk_2,0:04:56,296,What's happening with the scheduling?,What's happening with the scheduling?,2,5,False,False,question,0.5538079142570496
S072,T017,spk_2,0:04:56,296,What?,What?,3,1,True,False,question,0.5546905994415283
S073,T017,spk_2,0:04:56,296,Yeah.,Yeah.,4,1,True,False,clarification,0.2715659737586975
S074,T018,spk_1,0:05:04,304,Okay.,Okay.,0,1,True,False,clarification,0.314227432012558
S075,T018,spk_1,0:05:04,304,So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA.,So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA.,1,35,False,False,question,0.3087618947029114
S076,T018,spk_1,0:05:04,304,"The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game.","The system, in the system to be I would like them to referee to insert the events that occurred during the game.",2,22,False,False,feature request,0.20910944044589996
S077,T018,spk_1,0:05:04,304,Real time.,Real time.,3,2,True,False,priority,0.23313161730766296
S078,T018,spk_1,0:05:04,304,So I would expect him to use his mobile phone to record the event in real time.,So I would expect him to use his mobile phone to record the event in real time.,4,17,False,False,clarification,0.16551920771598816
S079,T018,spk_1,0:05:04,304,It can be the main referee or the side referee or they can insert and only then can insert event of the of the game.,It can be the main referee or the side referee or they can insert and only then can insert event of the of the game.,5,25,False,False,agreement,0.1853734403848648
