statement_id,turn_id,speaker,timestamp,timestamp_seconds,original_text,normalized_text,position_in_turn,word_count,is_short,has_redacted_name,dialogue_act,dialogue_confidence,requirement_candidate
S001,T001,spk_0,2026-08-27 00:00:00,0,we're doing I'm *** and this is **** we are colleagues and uh we are here for the IFA system and all the requirements that we'll now be discussing with you so that we can deliver a good system to you.,we're doing I'm *** and this is **** we are colleagues and we are here for the IFA system and all the requirements that we'll now be discussing with you so that we can deliver a good system to you.,0,40,False,True,disagreement,0.35417813060000003,False
S002,T001,spk_0,2026-08-27 00:00:00,0,Yeah.,Yeah.,1,1,True,False,clarification,0.2715657353,False
S003,T001,spk_0,2026-08-27 00:00:00,0,Um Uh just just can you give us 10 seconds?,just can you give us 10 seconds?,2,7,False,False,question,0.3194678426,False
S004,T001,spk_0,2026-08-27 00:00:00,0,We just need to start recording because.,We just need to start recording because.,3,7,False,False,clarification,0.24152435360000002,True
S005,T001,spk_0,2026-08-27 00:00:00,0,Okay.,Okay.,4,1,True,False,clarification,0.3142276406,False
S006,T001,spk_0,2026-08-27 00:00:00,0,Okay.,Okay.,5,1,True,False,clarification,0.3142276406,False
S007,T001,spk_0,2026-08-27 00:00:00,0,So yes.,So yes.,6,2,True,False,answer,0.3751418293,False
S008,T001,spk_0,2026-08-27 00:00:00,0,Now the video and our conversation is getting recorded.,Now the video and our conversation is getting recorded.,7,9,False,False,constraint,0.2886118293,True
S009,T001,spk_0,2026-08-27 00:00:00,0,All right.,All right.,8,2,True,False,clarification,0.34091013670000003,False
S010,T001,spk_0,2026-08-27 00:00:00,0,So we understand that IFA's new system wants to have some key features.,So we understand that IFA's new system wants to have some key features.,9,13,False,False,feature request,0.3310441971,True
S011,T001,spk_0,2026-08-27 00:00:00,0,"For example, you need a proper budget, budgetting portal, reporting portal, scheduling portal and a fan portal for your consumers, fans, users.","For example, you need a proper budget, budgetting portal, reporting portal, scheduling portal and a fan portal for your consumers, fans, users.",10,22,False,False,feature request,0.2942410707,True
S012,T001,spk_0,2026-08-27 00:00:00,0,"So we'll go one by one, uh and we'll ask you some questions regarding each of these key categories and then um maybe you can add whatever we have missed and we'll just round it up nicely.","So we'll go one by one, and we'll ask you some questions regarding each of these key categories and then maybe you can add whatever we have missed and we'll just round it up nicely.",11,35,False,False,question,0.5572761297000001,False
S013,T001,spk_0,2026-08-27 00:00:00,0,"So uh regarding the budget, uh We want to know the basics first.","So regarding the budget, We want to know the basics first.",12,11,False,False,clarification,0.2845647931,True
S014,T001,spk_0,2026-08-27 00:00:00,0,So uh how is the IFA Financed and what are your main expense categories?,So how is the IFA Financed and what are your main expense categories?,13,13,False,False,question,0.3863199949,False
S015,T001,spk_0,2026-08-27 00:00:00,0,You would say,You would say,14,3,True,False,clarification,0.1922986805,False
S016,T002,spk_1,2026-08-27 00:01:17,77,Expense category.,Expense category.,0,2,True,False,clarification,0.251634717,False
S017,T002,spk_1,2026-08-27 00:01:17,77,"So the budget consists of income and expenses, of course.","So the budget consists of income and expenses, of course.",1,10,False,False,clarification,0.3007777035,False
S018,T002,spk_1,2026-08-27 00:01:17,77,"Uh And this can be our first kind, it can be an income from uh ticket selling for a specific game.","And this can be our first kind, it can be an income from ticket selling for a specific game.",2,19,False,False,clarification,0.2176275253,False
S019,T002,spk_1,2026-08-27 00:01:17,77,It can be income income due to uh uh selling of a certain player.,It can be income due to selling of a certain player.,3,11,False,False,answer,0.2697106898,False
S020,T002,spk_1,2026-08-27 00:01:17,77,It can be an income to you to a sale of specific property.,It can be an income to you to a sale of specific property.,4,13,False,False,answer,0.2398011237,False
S021,T002,spk_1,2026-08-27 00:01:17,77,So it's such as a small stadium that the team may have.,So it's such as a small stadium that the team may have.,5,12,False,False,constraint,0.2111264169,True
S022,T002,spk_1,2026-08-27 00:01:17,77,"And things like this is the income outcome could be uh for example, salaries for players for the various stakeholders, various players, various roles within the team itself.","And things like this is the income outcome could be for example, salaries for players for the various stakeholders, various players, various roles within the team itself.",6,27,False,False,answer,0.4255829453,False
S023,T002,spk_1,2026-08-27 00:01:17,77,A b um uh maintenance expenses for the study and things like that.,A b maintenance expenses for the study and things like that.,7,11,False,False,constraint,0.17846240100000002,True
S024,T002,spk_1,2026-08-27 00:01:17,77,Did that answers your question?,Did that answers your question?,8,5,False,False,question,0.4774696827,False
S025,T003,spk_2,2026-08-27 00:02:15,135,"Okay, so the IFA is like an association of different teams and then the budget is consolidated uh through the IFA and then it's distributed to the teams?","Okay, so the IFA is like an association of different teams and then the budget is consolidated through the IFA and then it's distributed to the teams?",0,27,False,False,clarification,0.31002485750000003,False
S026,T003,spk_2,2026-08-27 00:02:15,135,They're just trying to understand how.,They're just trying to understand how.,1,6,False,False,question,0.37071427700000004,False
S027,T004,spk_1,2026-08-27 00:02:25,145,No no no no no no.,No.,0,1,True,False,disagreement,0.2427420318,False
S028,T004,spk_1,2026-08-27 00:02:25,145,Okay.,Okay.,1,1,True,False,clarification,0.3142276108,False
S029,T004,spk_1,2026-08-27 00:02:25,145,So the idea is that each team manage its own budget.,So the idea is that each team manage its own budget.,2,11,False,False,clarification,0.2677434385,False
S030,T004,spk_1,2026-08-27 00:02:25,145,The IFA only controls the ballance and monitor it to see that everything is managed properly.,The IFA only controls the ballance and monitor it to see that everything is managed properly.,3,16,False,False,clarification,0.1980929375,True
S031,T004,spk_1,2026-08-27 00:02:25,145,"The responsibility for managing the budget is on the team, not only IFA.","The responsibility for managing the budget is on the team, not only IFA.",4,13,False,False,clarification,0.2412959039,True
S032,T005,spk_0,2026-08-27 00:02:43,163,"Sorry, sorry to interrupt.","Sorry, sorry to interrupt.",0,4,False,False,correction,0.45016619560000004,True
S033,T006,spk_1,2026-08-27 00:02:44,164,The IFA is only is making audits maybe set some regulation rules to what is the policies.,The IFA is only is making audits maybe set some regulation rules to what is the policies.,0,17,False,False,constraint,0.2117910832,True
S034,T006,spk_1,2026-08-27 00:02:44,164,"So it it should have the ability to specify policy, budget policy in the system.","So it should have the ability to specify policy, budget policy in the system.",1,14,False,False,clarification,0.1963974833,True
S035,T006,spk_1,2026-08-27 00:02:44,164,So the system can alert of certain violation.,So the system can alert of certain violation.,2,8,False,False,clarification,0.23528714480000001,True
S036,T007,spk_2,2026-08-27 00:03:08,188,Okay.,Okay.,0,1,True,False,clarification,0.3142276108,False
S037,T007,spk_2,2026-08-27 00:03:08,188,And your financial team can access financial data in the in the teams in themselves or in the clubs.,And your financial team can access financial data in the in the teams in themselves or in the clubs.,1,19,False,False,agreement,0.2232194394,False
S038,T008,spk_1,2026-08-27 00:03:16,196,Right.,Right.,0,1,True,False,clarification,0.2969780266,False
S039,T008,spk_1,2026-08-27 00:03:16,196,The favorite administrative can see the uh diverse transactions.,The favorite administrative can see the diverse transactions.,1,8,False,False,priority,0.2001299709,True
S040,T009,spk_2,2026-08-27 00:03:23,203,Okay.,Okay.,0,1,True,False,clarification,0.3142276108,False
S041,T009,spk_2,2026-08-27 00:03:23,203,These reports are now performed manually or,These reports are now performed manually or,1,7,False,False,question,0.3739280403,False
S042,T010,spk_1,2026-08-27 00:03:26,206,Manually and given once a year.,Manually and given once a year.,0,6,False,False,constraint,0.2336895913,True
S043,T010,spk_1,2026-08-27 00:03:26,206,"So since they are given once a year, they kind of aggregated and there's no real auditing of the real transactions.","So since they are given once a year, they kind of aggregated and there's no real auditing of the real transactions.",1,21,False,False,disagreement,0.1955633461,False
S044,T011,spk_0,2026-08-27 00:03:39,219,Okay.,Okay.,0,1,True,False,clarification,0.3142276108,False
S045,T011,spk_0,2026-08-27 00:03:39,219,Okay.,Okay.,1,1,True,False,clarification,0.3142276406,False
S046,T011,spk_0,2026-08-27 00:03:39,219,"Um Once again if we understand correctly the IFA does not have a central pool of money, each team has their own money and you just regulate and control everything.","Once again if we understand correctly the IFA does not have a central pool of money, each team has their own money and you just regulate and control everything.",2,29,False,False,clarification,0.3164877594,False
S047,T012,spk_1,2026-08-27 00:03:50,230,Indeed.,Indeed.,0,1,True,False,answer,0.323186636,False
S048,T013,spk_0,2026-08-27 00:03:51,231,Okay.,Okay.,0,1,True,False,clarification,0.3142276108,False
S049,T013,spk_0,2026-08-27 00:03:51,231,All right.,All right.,1,2,True,False,clarification,0.34091013670000003,False
S050,T013,spk_0,2026-08-27 00:03:51,231,"Um and um can you uh give us an idea of the key people's, key people that are involved?","and can you give us an idea of the key people's, key people that are involved?",2,16,False,False,question,0.4313392639,False
S051,T013,spk_0,2026-08-27 00:03:51,231,For example of course the team manager will be involved.,For example of course the team manager will be involved.,3,10,False,False,answer,0.2288862765,False
S052,T013,spk_0,2026-08-27 00:03:51,231,Your financial people will be involved.,Your financial people will be involved.,4,6,False,False,clarification,0.19680395720000002,False
S053,T013,spk_0,2026-08-27 00:03:51,231,So how many people can you say do get access to this whole budgeting system?,So how many people can you say do get access to this whole budgeting system?,5,15,False,False,question,0.40815708040000004,False
